n,w,seed,id_error,eval_return_mean,eval_return_std,theta_hat_mass,theta_hat_length,wall_time_s
0,0.5,0,1.118033988749895,-796.7904146251633,173.12623322955451,1.0,1.0,1156.738302230835
0,0.5,1,1.118033988749895,-772.0727094860288,206.09777884386523,1.0,1.0,1080.2862386703491
0,0.5,2,1.118033988749895,-827.8419257284407,138.132156767043,1.0,1.0,984.0391232967377
0,0.5,3,1.118033988749895,-799.4837592983883,142.55071350056318,1.0,1.0,980.9559955596924
0,0.5,4,1.118033988749895,-709.6104509232339,155.8354041240368,1.0,1.0,983.6912212371826
0,0.5,5,1.118033988749895,-689.9943189679797,192.73558408622733,1.0,1.0,959.7821054458618
0,0.5,6,1.118033988749895,-798.5738575777616,145.372737884666,1.0,1.0,957.6405341625214
0,0.5,7,1.118033988749895,-723.7779132916074,176.22620888811292,1.0,1.0,951.506591796875
0,0.5,8,1.118033988749895,-683.5037014904458,162.20036616817077,1.0,1.0,940.5899863243103
0,0.5,9,1.118033988749895,-690.0490369830043,172.94096656621076,1.0,1.0,1110.7099273204803
